episodes,success_rates,collision_rates,warning_rates,phys_losses,perf_losses,intruder_losses,knowledge_bank_size
43,0.7727272727272727,0.0,0.22727272727272727,0.027480600401759148,-1.4844582080841064,0.006386593449860811,28531
44,0.8823529411764706,0.029411764705882353,0.08823529411764706,0.026175938174128534,-3.8024218829094067,0.017474781721830368,28565
45,0.8181818181818182,0.022727272727272728,0.1590909090909091,0.057341210544109344,0.061459942214222574,0.01148426067084074,28609
46,0.8214285714285714,0.0,0.17857142857142858,0.04747454775497317,-0.43622149004238453,-0.006089701317250729,28664
47,0.9736842105263158,0.0,0.02631578947368421,0.02999304048717022,0.02186297695067349,0.00805768370628357,28702
48,0.875,0.05,0.075,0.054951854050159454,-0.9789412066351217,-0.0034679528325796127,28742
49,0.8823529411764706,0.029411764705882353,0.08823529411764706,0.03713894200821718,-6.027585495079382,-0.0026871718000620604,28775
50,0.9864864864864865,0.0,0.013513513513513514,0.09373459964990616,0.17810449602323702,0.009599559009075165,28849
51,0.84375,0.0,0.15625,0.06036852796872457,-2.3893190224965415,0.013619741424918175,28881
52,0.8222222222222222,0.022222222222222223,0.15555555555555556,0.025153125170618296,-3.1231053808559586,0.028212588280439377,28925
53,0.7297297297297297,0.10810810810810811,0.16216216216216217,0.034732408821582794,-19.244977951049805,0.01083550974726677,28962
54,0.9259259259259259,0.018518518518518517,0.05555555555555555,0.0989844985306263,-0.29364657522345045,0.006093129515647888,29015
55,0.7567567567567568,0.08108108108108109,0.16216216216216217,0.020587587729096413,-16.618484497070312,-0.008142219856381416,29052
56,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.12886590026319028,-9.233726233752785,-0.0007549399160780013,29107
57,0.8888888888888888,0.0,0.1111111111111111,0.03383146598935127,-0.9568893313407898,-0.015400480479001999,29134
58,0.9142857142857143,0.0,0.08571428571428572,0.17128313581148782,0.2553212038816481,-0.01707601733505726,29169
59,0.9,0.0,0.1,0.06628380576148629,-0.5936627972220059,0.007057356182485819,29208
60,0.8947368421052632,0.0,0.10526315789473684,0.022625343501567842,-0.4520572248282394,0.0028962756041437387,29246
61,0.78125,0.0625,0.15625,0.0,0.0,0.012393755838274956,29278
62,0.9444444444444444,0.0,0.05555555555555555,0.0559363787372907,0.1744210195861411,-0.00443648686632514,29313
63,0.96,0.0,0.04,0.027427542954683304,0.15694200340078365,-0.005512491334229708,29338
64,1.0,0.0,0.0,0.0,0.0,-0.01768403872847557,29367
65,0.8620689655172413,0.0,0.13793103448275862,0.030934737995266914,-2.016329526901245,0.00543157709762454,29396
66,0.8536585365853658,0.04878048780487805,0.0975609756097561,0.07551707699894905,-7.0132787647021715,0.010875707492232323,29437
67,1.0,0.0,0.0,0.12434906760851543,0.02622568290238957,-0.0014560545096173882,29489
68,0.7567567567567568,0.10810810810810811,0.13513513513513514,0.07822236915429433,-11.22770239195476,-0.010761884041130543,29526
69,0.8837209302325582,0.046511627906976744,0.06976744186046512,0.02661583572626114,0.020586433309261732,-0.0014168561901897192,29569
70,0.5952380952380952,0.047619047619047616,0.35714285714285715,0.03572350647300482,-1.1615958779999145,0.004937140736728907,29611
71,0.8709677419354839,0.03225806451612903,0.0967741935483871,0.06062178499996662,-0.7638267576694489,-0.00432558823376894,29642
72,0.8148148148148148,0.07407407407407407,0.1111111111111111,0.0252496600151062,-14.023331936448812,-0.014593621715903282,29669
73,0.8064516129032258,0.0,0.1935483870967742,0.04999105694393317,-0.6613126148780187,-0.009138631634414196,29700
74,0.7058823529411765,0.11764705882352941,0.17647058823529413,0.024563427083194256,-6.3036382019238095,0.00625203363597393,29751
75,0.8333333333333334,0.0,0.16666666666666666,0.022292551584541798,-0.6093439757823944,-0.018213551491498947,29781
76,1.0,0.0,0.0,0.07762787863612175,0.02436018874168969,-0.012535176239907742,29818
77,1.0,0.0,0.0,0.053851518034935,0.1650159989988639,-0.0018797969678416848,29858
78,0.7543859649122807,0.0,0.24561403508771928,0.12810807302594185,0.037911314752228684,0.0033497721888124943,29915
79,1.0,0.0,0.0,0.028694096952676773,0.02424778947270352,0.0036179497838020325,29940
80,0.8571428571428571,0.02857142857142857,0.11428571428571428,0.026928589989741642,-4.052488762019347,0.012602843344211578,29975
81,0.8611111111111112,0.0,0.1388888888888889,0.02594894915819168,-0.3374379730101902,-0.005414507817476988,30011
82,0.9032258064516129,0.0,0.0967741935483871,0.06257826695218682,0.4395812567196972,-0.005379152484238148,30042
83,0.9285714285714286,0.0,0.07142857142857142,0.0890124961733818,-1.3772070407867432,0.010526995174586773,30084
84,0.8787878787878788,0.0,0.12121212121212122,0.030538905411958694,-0.4812234044075012,0.016127215698361397,30116
85,0.6585365853658537,0.04878048780487805,0.2926829268292683,0.024456629063934088,-1.179435521364212,-0.0004212142957840115,30157
86,0.8076923076923077,0.07692307692307693,0.11538461538461539,0.03141680918633938,-7.0453141530354815,-0.00171926140319556,30182
87,1.0,0.0,0.0,0.1461111307144165,0.07104046846353335,0.0042399195954203606,30222
88,0.8918918918918919,0.02702702702702703,0.08108108108108109,0.02710434654727578,-6.672061443328857,0.019032340496778488,30259
89,0.7916666666666666,0.0,0.20833333333333334,0.0489567905664444,0.002422723832822338,-0.03307821974158287,30283
90,0.8181818181818182,0.0,0.18181818181818182,0.024340536445379257,-0.8396143317222595,0.031035291031003,30305
91,0.9523809523809523,0.0,0.047619047619047616,0.7002148628234863,-0.007861016778359244,-0.0026386561803519726,30389
92,1.0,0.0,0.0,0.0,0.0,-0.0037661336828023195,30423
93,0.9259259259259259,0.0,0.07407407407407407,0.029934360335270565,0.04975632370784246,-0.016216736286878586,30450
94,1.0,0.0,0.0,0.0,0.0,0.02075781673192978,30489
95,1.0,0.0,0.0,0.0,0.0,0.005259035620838404,30513
96,1.0,0.0,0.0,0.07914761081337929,0.3295918845959256,0.0007374590495601296,30541
97,0.975,0.0,0.025,0.10233462229371071,0.14750912236872557,-0.0013261012500151992,30580
98,0.8461538461538461,0.02564102564102564,0.1282051282051282,0.04885070212185383,-5.510882124304771,-0.01922145113348961,30618
99,0.96875,0.0,0.03125,0.06680884833137195,0.4283933757372502,0.0017462149262428284,30650
